Order_ID,Date,Customer_ID,Gender,Age,City,Category,Quantity,Unit_Price,Sub_Category,Total_Amount
ORD1000,13-04-2023,CUST373,Male,60,Chennai,Camera,1,27353,DSLR,27353
ORD1001,15-12-2023,CUST515,Male,52,Bengaluru,Accessories,3,74219,Charger,222657
ORD1002,28-09-2023,CUST707,Male,30,Mumbai,Laptop,1,21161,Ultrabook,21161
ORD1003,17-04-2023,CUST838,Female,27,Hyderabad,Mobile,1,50993,Smartphone,50993
ORD1004,13-03-2023,CUST990,Male,61,Ahmedabad,Camera,4,36995,Mirrorless,147980
ORD1005,08-07-2023,CUST138,Female,64,Ahmedabad,Mobile,1,14203,Feature Phone,14203
ORD1006,21-01-2023,CUST913,Male,27,Chennai,Accessories,2,53580,Charger,107160
ORD1007,13-04-2023,CUST128,Female,63,Hyderabad,Camera,1,31315,Mirrorless,31315
ORD1008,02-05-2023,CUST576,Male,30,Ahmedabad,Tablet,3,30065,Android Tablet,90195
ORD1009,03-08-2023,CUST417,Female,54,Hyderabad,Laptop,3,63821,Gaming Laptop,191463
ORD1010,27-11-2023,CUST344,Female,55,Pune,Accessories,2,58953,Headphones,117906
ORD1011,29-03-2023,CUST847,Male,41,Kolkata,Accessories,3,33661,Headphones,100983
ORD1012,10-04-2023,CUST796,Female,19,Mumbai,Laptop,3,56491,Gaming Laptop,169473
ORD1013,26-12-2023,CUST371,Female,39,Hyderabad,Laptop,4,10216,Gaming Laptop,40864
ORD1014,01-06-2023,CUST539,Female,34,Delhi,Tablet,2,33849,Android Tablet,67698
ORD1015,11-05-2023,CUST847,Female,53,Bengaluru,Accessories,4,47598,Cover,190392
ORD1016,30-05-2023,CUST338,Female,31,Delhi,Accessories,4,632,Cover,2528
ORD1017,05-11-2023,CUST476,Female,27,Ahmedabad,Mobile,1,52490,Smartphone,52490
ORD1018,15-09-2023,CUST365,Female,52,Pune,Camera,2,69421,Mirrorless,138842
ORD1019,10-12-2023,CUST458,Female,42,Pune,Camera,1,37038,DSLR,37038
ORD1020,21-10-2023,CUST439,Male,20,Delhi,Mobile,1,7713,Smartphone,7713
ORD1021,11-07-2023,CUST488,Male,64,Mumbai,Camera,4,44723,Mirrorless,178892
ORD1022,04-10-2023,CUST676,Female,55,Delhi,Laptop,3,68871,Gaming Laptop,206613
ORD1023,10-06-2023,CUST788,Female,34,Chennai,Camera,2,68774,DSLR,137548
ORD1024,10-11-2023,CUST102,Male,29,Ahmedabad,Camera,3,4634,Mirrorless,13902
ORD1025,22-01-2023,CUST528,Male,41,Ahmedabad,Mobile,4,40101,Smartphone,160404
ORD1026,10-09-2023,CUST241,Male,46,Delhi,Tablet,4,74389,iPad,297556
ORD1027,24-08-2023,CUST475,Female,60,Bengaluru,Camera,4,16190,DSLR,64760
ORD1028,11-12-2023,CUST769,Male,42,Bengaluru,Camera,4,2409,DSLR,9636
ORD1029,18-02-2023,CUST423,Female,53,Ahmedabad,Tablet,4,12562,Android Tablet,50248
ORD1030,28-02-2023,CUST245,Female,43,Kolkata,Mobile,4,75886,Feature Phone,303544
ORD1031,19-06-2023,CUST392,Male,55,Bengaluru,Tablet,3,35231,iPad,105693
ORD1032,07-07-2023,CUST764,Female,18,Delhi,Mobile,1,5653,Feature Phone,5653
ORD1033,28-09-2023,CUST531,Female,37,Bengaluru,Laptop,3,10981,Gaming Laptop,32943
ORD1034,09-07-2023,CUST804,Female,45,Ahmedabad,Mobile,2,66925,Smartphone,133850
ORD1035,24-06-2023,CUST684,Female,33,Mumbai,Laptop,3,64100,Ultrabook,192300
ORD1036,20-02-2023,CUST498,Male,64,Hyderabad,Laptop,4,72497,Ultrabook,289988
ORD1037,30-12-2023,CUST916,Male,34,Bengaluru,Mobile,3,28705,Smartphone,86115
ORD1038,24-02-2023,CUST988,Female,57,Chennai,Accessories,1,44649,Cover,44649
ORD1039,01-09-2023,CUST443,Female,45,Mumbai,Mobile,2,49612,Smartphone,99224
ORD1040,16-11-2023,CUST239,Male,29,Kolkata,Camera,3,11440,DSLR,34320
ORD1041,11-05-2023,CUST286,Female,44,Chennai,Camera,1,59510,Mirrorless,59510
ORD1042,03-11-2023,CUST904,Male,59,Delhi,Accessories,3,77294,Cover,231882
ORD1043,15-05-2023,CUST160,Female,64,Hyderabad,Laptop,2,24985,Gaming Laptop,49970
ORD1044,21-01-2023,CUST479,Female,47,Delhi,Accessories,3,1567,Headphones,4701
ORD1045,25-11-2023,CUST809,Male,58,Hyderabad,Camera,4,21107,DSLR,84428
